Имя,Тип,Артикул,Опубликован,Видимость в каталоге,Наличие,Категории,Название атрибута 4,Значения атрибутов 4,Название атрибута 12,Значения атрибутов 12,Название атрибута 23,Значения атрибутов 23,Название атрибута 3,Значения атрибутов 3,Название атрибута 1,Значения атрибутов 1,Название атрибута 2,Значения атрибутов 2,Название атрибута 5,Значения атрибутов 5,Название атрибута 6,Значения атрибутов 6,Название атрибута 7,Значения атрибутов 7,Название атрибута 9,Значения атрибутов 9,Название атрибута 10,Значения атрибутов 10,Название атрибута 11,Значения атрибутов 11,Название атрибута 13,Значения атрибутов 13,Название атрибута 14,Значения атрибутов 14,Название атрибута 15,Значения атрибутов 15,Название атрибута 16,Значения атрибутов 16,Название атрибута 17,Значения атрибутов 17,Название атрибута 18,Значения атрибутов 18,Название атрибута 19,Значения атрибутов 19,Название атрибута 20,Значения атрибутов 20,Название атрибута 21,Значения атрибутов 21,Название атрибута 22,Значения атрибутов 22,Название атрибута 24,Значения атрибутов 24,Название атрибута 25,Значения атрибутов 25,Название атрибута 26,Значения атрибутов 26
Haulotte HA 18 SPX,simple,33,1,visible,1,"Misc, Коленчатые, Дизельные, Самоходные",Вид подъемника,Коленчатый,Рабочая высота,"17,3 м",Тип двигателя,Дизельный,Вес,7950 кг,Аккумуляторы,,Бренд,Haulotte,Внешний радиус поворота,4.5 м,Внутренний радиус поворота,2 м,Вращение,180°,Горизонтальный вылет,10.6 м,Высота техники,2.2 м,Высота подъема платформы,"15,3 м",Объем бака гидравлической жидкости,100 л,Грузоподъемность,230 кг,Двигатель,Deutz Diesel 31.2 kW / 42.4hp,Длина,"7,5 м",Дорожный просвет,38 см,Колесная база,2 м,Преодолеваемый подъем,45%,Габариты платформы,1.8 х 0.8 м,Скорость,"1,5 - 5,5 км/ч",Страна,Франция,Объем топливного бака,75 л,Шины,Внедорожные (с пенным наполнением),Ширина,"2,3 м"
Haulotte HA16 RTJ,simple,36,1,visible,1,"Misc, Коленчатые, Дизельные, Самоходные",Вид подъемника,Коленчатый,Рабочая высота,16 м,Тип двигателя,Дизельный,Вес,6095 кг,Аккумуляторы,,Бренд,Haulotte,Внешний радиус поворота,4.5 м,Внутренний радиус поворота,,Вращение,165°,Горизонтальный вылет,8.3 м,Высота техники,2.3 м,Высота подъема платформы,14 м,Объем бака гидравлической жидкости,76 л,Грузоподъемность,230 кг,Двигатель,"Kubota, 26.5kW (36hp), Stage 3A",Длина,"5,05 м",Дорожный просвет,38 см,Колесная база,2.1 м,Преодолеваемый подъем,40%,Габариты платформы,1.83 × 0.80 м,Скорость,5.2 км/ч,Страна,Франция,Объем топливного бака,62 л,Шины,14×17.5 (с пенным наполнением),Ширина,"2,3 м"
Haulotte HA16 RTJ PRO,simple,37,1,visible,1,"Misc, Коленчатые, Дизельные, Самоходные",Вид подъемника,Коленчатый,Рабочая высота,16 м,Тип двигателя,Дизельный,Вес,6540 кг,Аккумуляторы,,Бренд,Haulotte,Внешний радиус поворота,3.75 м,Внутренний радиус поворота,,Вращение,165°,Горизонтальный вылет,8.3 м,Высота техники,2.3 м,Высота подъема платформы,14 м,Объем бака гидравлической жидкости,62 л,Грузоподъемность,230 кг,Двигатель,"Kubota, 26.5kW (36hp), Stage 3A",Длина,"6,75 м",Дорожный просвет,34 см,Колесная база,2.1 м,Преодолеваемый подъем,,Габариты платформы,,Скорость,0.8 - 5.2 км/ч,Страна,Франция,Объем топливного бака,62 л,Шины,14×17.5 (foam-filled),Ширина,"2,3 м"
Haulotte HT23 RTJ O,simple,39,1,visible,1,"Misc, Телескопические, Дизельные, Самоходные",Вид подъемника,Телескопический,Рабочая высота,"22,5 м",Тип двигателя,Дизельный,Вес,13320 кг,Аккумуляторы,,Бренд,Haulotte,Внешний радиус поворота,6.3 м,Внутренний радиус поворота,,Вращение,180°,Горизонтальный вылет,18.3 м,Высота техники,2.7 м,Высота подъема платформы,"20,5 м",Объем бака гидравлической жидкости,,Грузоподъемность,230 кг,Двигатель,Kubota 36.5 / 49.6,Длина,"7,8 м",Дорожный просвет,34 см,Колесная база,2.5 м,Преодолеваемый подъем,40%,Габариты платформы,2.44 х 0.91 м,Скорость,0.5 - 6.5 км/ч,Страна,Франция,Объем топливного бака,166 л,Шины,Пенонаполненные 3385/65-22.5 ,Ширина,"2,47 м"
Haulotte HA26 RTJ О,simple,38,1,visible,1,"Misc, Коленчатые, Дизельные, Самоходные",Вид подъемника,Коленчатый,Рабочая высота,"26,4 м",Тип двигателя,Дизельный,Вес,15500 кг,Аккумуляторы,,Бренд,Haulotte,Внешний радиус поворота,6.55 м,Внутренний радиус поворота,,Вращение,180 люлька/ 360 непрерывно,Горизонтальный вылет,17.5 м,Высота техники,2.97 м,Высота подъема платформы,"24,4 м",Объем бака гидравлической жидкости,140 л,Грузоподъемность,250 кг,Двигатель,"Kubota 49,6 hp - 36.5kW",Длина,"11,8 м",Дорожный просвет,48 см,Колесная база,2.8 м,Преодолеваемый подъем,45%,Габариты платформы,2.44 х 0.91 м,Скорость,5 км/ч,Страна,Франция,Объем топливного бака,80 л,Шины,385/65-22.5 (solid rough terrain),Ширина,"2,48 м"
Haulotte НА 26 RTJ PRO,simple,21,1,visible,1,"Misc, Коленчатые, Дизельные, Самоходные",Вид подъемника,Коленчатый,Рабочая высота,"26,4 м",Тип двигателя,Дизельный,Вес,15500 кг,Аккумуляторы,,Бренд,Haulotte,Внешний радиус поворота,4.35 м,Внутренний радиус поворота,,Вращение,180 люлька/ 360 непрерывно,Горизонтальный вылет,17.5 м,Высота техники,2.97 м,Высота подъема платформы,"24,4 м",Объем бака гидравлической жидкости,140 л,Грузоподъемность,250 кг,Двигатель,"Kubota 49,6 hp - 36.5kW",Длина,"11,8 м",Дорожный просвет,48 см,Колесная база,2.8 м,Преодолеваемый подъем,45%,Габариты платформы,2.44 х 0.91 м,Скорость,5 км/ч,Страна,Франция,Объем топливного бака,80 л,Шины,1025 х 365 мм (solid rough terrain),Ширина,"2,48 м"
Haulotte Compact 8,simple,27,1,visible,1,"Misc, Ножничные, Электрические, Самоходные",Вид подъемника,Ножничный,Рабочая высота,"8,2 м",Тип двигателя,Электрический,Вес,1655 кг,Аккумуляторы,24В 225 Амп/ч,Бренд,Haulotte,Внешний радиус поворота,2.38 м,Внутренний радиус поворота,0.34 м,Вращение,,Горизонтальный вылет,нет,Высота техники,2 м (со слож ограждениями 1.13 м),Высота подъема платформы,"6,2 м",Объем бака гидравлической жидкости,27 л,Грузоподъемность,350 кг,Двигатель,24 V - 232 Ah,Длина,"2,49 м",Дорожный просвет,13 см,Колесная база,1.86 м,Преодолеваемый подъем,23%,Габариты платформы,2.31 х 0.81 м,Скорость,1 - 3.3 км/ч,Страна,Франция,Объем топливного бака,,Шины,Non marking 15 х 5,Ширина,"0,81 м"
Haulotte Compact 10,simple,22,1,visible,1,"Misc, Ножничные, Электрические, Самоходные",Вид подъемника,Ножничный,Рабочая высота,"10,15 м",Тип двигателя,Электрический,Вес,2330 кг,Аккумуляторы,24В 330 Амп/ч,Бренд,Haulotte,Внешний радиус поворота,1.83 м,Внутренний радиус поворота,,Вращение,,Горизонтальный вылет,нет,Высота техники,2.35 м (со слож ограждениями 1.65 м),Высота подъема платформы,"8,15 м",Объем бака гидравлической жидкости,25 л,Грузоподъемность,450 кг,Двигатель,24 V - 340 Ah,Длина,"2,49 м",Дорожный просвет,12.5 см,Колесная база,1.86 м,Преодолеваемый подъем,25%,Габариты платформы,2.40 х 1.17 м,Скорость,0.7-4.2 км/ч,Страна,Франция,Объем топливного бака,,Шины,Non marking 15 х 5,Ширина,"1,2 м"
Haulotte Compact 10N,simple,23,1,visible,1,"Misc, Ножничные, Электрические, Самоходные",Вид подъемника,Ножничный,Рабочая высота,"9,8 м",Тип двигателя,Электрический,Вес,2160 кг,Аккумуляторы,24В 225 Амп/ч,Бренд,Haulotte,Внешний радиус поворота,2.05 м,Внутренний радиус поворота,,Вращение,,Горизонтальный вылет,нет,Высота техники,2.35 м (со слож ограждениями 1.94 м),Высота подъема платформы,"7,8 м",Объем бака гидравлической жидкости,10/27 л,Грузоподъемность,250 кг,Двигатель,24 В - 4x6 В - 209 А.ч.,Длина,"2,5 м",Дорожный просвет,12.5 см,Колесная база,1.86 м,Преодолеваемый подъем,25%,Габариты платформы,2.40 х 0.8 м,Скорость,0.7-4.2 км/ч,Страна,Франция,Объем топливного бака,,Шины,Non marking 15 х 5,Ширина,"0,81 м"
Haulotte Compact 12,simple,24,1,visible,1,"Misc, Ножничные, Электрические, Самоходные",Вид подъемника,Ножничный,Рабочая высота,"11,98 м",Тип двигателя,Электрический,Вес,2470 кг,Аккумуляторы,24В 340 Амп/ч,Бренд,Haulotte,Внешний радиус поворота,1.83 м,Внутренний радиус поворота,,Вращение,,Горизонтальный вылет,,Высота техники,2.47 м,Высота подъема платформы,"9,98 м",Объем бака гидравлической жидкости,14 л,Грузоподъемность,300 кг,Двигатель,24 V - 340 Ah (C20),Длина,"2,49 м",Дорожный просвет,12.5 см,Колесная база,1.86 м,Преодолеваемый подъем,25%,Габариты платформы,2.40 х 1.17 м (в удлиненном виде 3.32 х 1.17 м),Скорость,0.7-4.2 км/ч,Страна,Франция,Объем топливного бака,нет,Шины,Non marking 15 х 5,Ширина,"1,2 м"
Haulotte Compact 12 DX NEW,simple,25,1,visible,1,"Misc, Ножничные, Дизельные, Самоходные",Вид подъемника,Ножничный,Рабочая высота,"11,98 м",Тип двигателя,Дизельный,Вес,4110 кг,Аккумуляторы,,Бренд,Haulotte,Внешний радиус поворота,4.63 м,Внутренний радиус поворота,,Вращение,,Горизонтальный вылет,,Высота техники,2.56 м (со слож ограждениями 1.71 м),Высота подъема платформы,"9,98 м",Объем бака гидравлической жидкости,75 л,Грузоподъемность,450 кг,Двигатель,"KUBOTA D1105-W1, 18.5 кВт - 24.8 л.с., Stage 3A",Длина,"3,17 м",Дорожный просвет,28 см,Колесная база,1.84 м,Преодолеваемый подъем,40%,Габариты платформы,2.45 х 1.45 м (в удлиненном виде 3.7 х 1.45 м),Скорость,0.6-5.5 км/ч,Страна,Франция,Объем топливного бака,30 л,Шины,Пенонаполненные 663 х 283 мм,Ширина,"1,78 м"
Haulotte Compact 14,simple,26,1,visible,1,"Misc, Ножничные, Электрические, Самоходные",Вид подъемника,Ножничный,Рабочая высота,"13,85 м",Тип двигателя,Электрический,Вес,3175 кг,Аккумуляторы,24В 340 Амп/ч,Бренд,Haulotte,Внешний радиус поворота,1.83 м,Внутренний радиус поворота,,Вращение,,Горизонтальный вылет,,Высота техники,2.72 м (со слож ограждениями 2.02 м),Высота подъема платформы,"11,85 м",Объем бака гидравлической жидкости,25 л,Грузоподъемность,350 кг,Двигатель,24 V - 340 Ah (C20),Длина,"2,49 м",Дорожный просвет,10.8 см,Колесная база,1.86 м,Преодолеваемый подъем,25%,Габариты платформы,2.40 х 1.20 м (в удлиненном виде 3.32 х 1.20 м),Скорость,0.7-4.2 км/ч,Страна,Франция,Объем топливного бака,нет,Шины,Non marking 15 х 5,Ширина,"1,2 м"
Haulotte Optimum 8,simple,40,1,visible,1,"Misc, Ножничные, Электрические, Самоходные",Вид подъемника,Ножничный,Рабочая высота,"7,77 м",Тип двигателя,Электрический,Вес,1590 кг,Аккумуляторы,24В 225 Амп/ч,Бренд,Haulotte,Внешний радиус поворота,1.5 м,Внутренний радиус поворота,,Вращение,,Горизонтальный вылет,,Высота техники,1.99 м,Высота подъема платформы,"5,77 м",Объем бака гидравлической жидкости,6 л,Грузоподъемность,230 кг,Двигатель,24 V - 232 Ah,Длина,"1,9 м",Дорожный просвет,8.7 см,Колесная база,1.38 м,Преодолеваемый подъем,25%,Габариты платформы,1.73 х 0.86 м (в удлиненном виде 2.59 х 0.86 м),Скорость,0.5-5 км/ч,Страна,Франция,Объем топливного бака,нет,Шины,Non marking 12.5 х 4.13,Ширина,"0,79 м"
JLG 510 AJ,simple,42,1,visible,1,"Misc, Коленчатые, Дизельные, Самоходные",Вид подъемника,Коленчатый,Рабочая высота,"17,81 м",Тип двигателя,Дизельный,Вес,7650 кг,Аккумуляторы,,Бренд,JLG,Внешний радиус поворота,5 м,Внутренний радиус поворота,2 м,Вращение,"360°, непрерывное-нет",Горизонтальный вылет,9.48 м,Высота техники,2.3 м,Высота подъема платформы,"15,81 м",Объем бака гидравлической жидкости,113.6 л,Грузоподъемность,230 кг,Двигатель,Deutz F3M2011 / Deutz D2011L03 / Perkins 404C-22,Длина,"7,68 м",Дорожный просвет,0.36 м,Колесная база,2.34 м,Преодолеваемый подъем,45%,Габариты платформы,1.83 х 0.76 м ,Скорость,7.2 км/ч,Страна,США,Объем топливного бака,62.5 л,Шины,"Пенонаполненные (lug), без следов 12 х 16.5",Ширина,"2,26 м"
JLG E450AJ,simple,44,1,visible,1,"Misc, Коленчатые, Электрические, Самоходные",Вид подъемника,Коленчатый,Рабочая высота,"15,72 м",Тип двигателя,Электрический,Вес,6670 кг,Аккумуляторы,8 x 6В 370 А/ч ,Бренд,JLG,Внешний радиус поворота,3.15 м,Внутренний радиус поворота,0.61 м,Вращение,"360°, непрерывное-нет",Горизонтальный вылет,7.24 м,Высота техники,2.01 м,Высота подъема платформы,"13,72 м",Объем бака гидравлической жидкости,15 л,Грузоподъемность,227 кг,Двигатель,Электрическая система 48 вольт,Длина,"6,45 м",Дорожный просвет,20 см,Колесная база,2.01 м,Преодолеваемый подъем,30%,Габариты платформы,1.52 х 0.76 м ,Скорость,7.2 км/ч,Страна,США,Объем топливного бака,нет,Шины,"240/55-17.5, пенонаполненные/ не оставляющие следов",Ширина,1.75 м
LGMG AR14J,simple,46,1,visible,1,"Misc, Коленчатые, Дизельные, Самоходные",Вид подъемника,Коленчатый,Рабочая высота,"16,09 м",Тип двигателя,Дизельный,Вес,7160 кг,Аккумуляторы,,Бренд,LGMG,Внешний радиус поворота,4.41 м,Внутренний радиус поворота,1.94 м,Вращение,355°,Горизонтальный вылет,7.4 м,Высота техники,2.17 м,Высота подъема платформы,"14,09 м",Объем бака гидравлической жидкости,130 л,Грузоподъемность,230 кг,Двигатель,"Kubota V2403 36 кВт/48,2 л.с.",Длина,"6,77 м",Дорожный просвет,36 см,Колесная база,2.06 м,Преодолеваемый подъем,45%,Габариты платформы,1.83 х 0.76 м ,Скорость,0.8-6.1 км/ч,Страна,Китай,Объем топливного бака,65 л,Шины,"355/55D-625, пенонаполненные",Ширина,"2,31 м"
LGMG ES1612,simple,49,1,visible,1,"Misc, Ножничные, Электрические, Самоходные",Вид подъемника,Ножничный,Рабочая высота,"15,7 м",Тип двигателя,Электрический,Вес,880 кг,Аккумуляторы,"4 х 6 В, 300 А/ч",Бренд,LGMG,Внешний радиус поворота,,Внутренний радиус поворота,,Вращение,,Горизонтальный вылет,,Высота техники,,Высота подъема платформы,"13,7 м",Объем бака гидравлической жидкости,,Грузоподъемность,250 кг,Двигатель,,Длина,"2,87 м",Дорожный просвет,,Колесная база,,Преодолеваемый подъем,,Габариты платформы,,Скорость,,Страна,Китай,Объем топливного бака,,Шины,,Ширина,0.81 м
LGMG SS0407E,simple,52,1,visible,1,"Misc, Ножничные, Электрические, Самоходные",Вид подъемника,Ножничный,Рабочая высота,"5,6 м",Тип двигателя,Электрический,Вес,885 кг,Аккумуляторы,24V DC 115Ah,Бренд,LGMG,Внешний радиус поворота,1.5 м,Внутренний радиус поворота,0,Вращение,нет,Горизонтальный вылет,,Высота техники,2.06 м (со слож перилами 1.82 м),Высота подъема платформы,"3,6 м",Объем бака гидравлической жидкости,4.5 л,Грузоподъемность,240 кг,Двигатель,24V DC 115Ah,Длина,"1,53 м",Дорожный просвет,5 см,Колесная база,1.12 м,Преодолеваемый подъем,25%,Габариты платформы,"1.30 х 0.70 м, удлинитель 0.60 м",Скорость,,Страна,Китай,Объем топливного бака,нет,Шины,"230 х 80 мм, цельнолитые/не оставляют следов",Ширина,"0,76 м"
LGMG A14JE,simple,45,1,visible,1,"Misc, Коленчатые, Электрические, Самоходные",Вид подъемника,Коленчатый,Рабочая высота,"15,8 м",Тип двигателя,Электрический,Вес,7500 кг,Аккумуляторы,48В 390Ач,Бренд,LGMG,Внешний радиус поворота,4.1 м,Внутренний радиус поворота,1.83 м,Вращение,355°,Горизонтальный вылет,7.81 м,Высота техники,1.98 м (транспортная высота 2.54 м),Высота подъема платформы,"13,8 м",Объем бака гидравлической жидкости,30 л,Грузоподъемность,230 кг,Двигатель,48В 390Ач,Длина,"6,66 м",Дорожный просвет,24 см,Колесная база,2.03 м,Преодолеваемый подъем,30%,Габариты платформы,1.83 х 0.76 м ,Скорость,1.0-4.8 км/ч,Страна,Китай,Объем топливного бака,нет,Шины,"9-14.5, пенонаполненные/не оставляющие следов",Ширина,"1,8 м"
LGMG AR16J,simple,47,1,visible,1,"Misc, Коленчатые, Дизельные, Самоходные",Вид подъемника,Коленчатый,Рабочая высота,"17,7м",Тип двигателя,Дизельный,Вес,8180 кг,Аккумуляторы,,Бренд,LGMG,Внешний радиус поворота,4.41 м,Внутренний радиус поворота,1.94 м,Вращение,355°,Горизонтальный вылет,9.39 м,Высота техники,2.17 м,Высота подъема платформы,"15,7м",Объем бака гидравлической жидкости,130 л,Грузоподъемность,230 кг,Двигатель,"Kubota V2403 36 кВт/48,2 л.с.",Длина,"7,56 м",Дорожный просвет,0.36 м,Колесная база,2.06 м,Преодолеваемый подъем,45%,Габариты платформы,1.83 х 0.76 м ,Скорость,6.1 км/ч,Страна,Китай,Объем топливного бака,65 л,Шины,"RT foam-filled, 315/55D20",Ширина,"2,31 м"
